length,time_interval,evol_num,sample_num,train_set_type,entangle_dim,loss,gate_fidelity,spectrum_diff,H_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,0.02,1,4,non_product,1,multi_mags,0.9802638927025676,33.2525453983975,0.0246169074121719,0.0009797131863713,0.0791388485342848,0.9900405852267228,0.9906662152185816
10,0.02,2,4,non_product,1,multi_mags,0.988892043065736,15.801181630721494,0.0197905996123202,0.0012079016780606,0.0509655430557503,0.994326452439236,0.9948992972854532
10,0.02,3,4,non_product,1,multi_mags,0.9962168479105844,4.226748352815092,0.0133450588804089,0.0005225465888822,0.0280783031353857,0.9981256328469852,0.9987402370684404
10,0.04,1,4,non_product,1,multi_mags,0.9690513155367936,11.30481584583427,0.0158014086552393,0.0005883855028112,0.094783071915235,0.9849558464961524,0.9860042801316422
10,0.04,2,4,non_product,1,multi_mags,0.9929267502073988,1.1911689504805083,0.0082497763060284,0.0010566321592413,0.0406643418099189,0.9964907772920688,0.997182284650698
10,0.04,3,4,non_product,1,multi_mags,0.9961907127052512,0.3969614167650004,0.0062098939423268,0.0004696394490695,0.0327641103740372,0.9981452471383508,0.9984665291597624
10,0.06,1,4,non_product,1,multi_mags,0.9669616643691492,4.741505755282235,0.0110576396379041,0.000646507812683,0.0763577367950986,0.9831827784450368,0.9901504746499104
10,0.06,2,4,non_product,1,multi_mags,0.99637544198993,0.0752248278703142,0.0044040413033994,0.0004447450015118,0.0265159567295982,0.998157031656538,0.998593390497588
10,0.06,3,4,non_product,1,multi_mags,0.9958755227979028,0.1554140199288154,0.0045418137403013,0.0014232716717293,0.0335373752922367,0.9978741145498068,0.9983131210314744
10,0.08,1,4,non_product,1,multi_mags,0.9106393466222092,6.056806643115623,0.0142438959154359,0.0008638487595029,0.1437175248782171,0.9554347961516922,0.9692197687744412
10,0.08,2,4,non_product,1,multi_mags,0.9922968065002712,0.1122458959331926,0.004980302433572,0.0005149627770406,0.045200412908271,0.9962128655520864,0.9966750726170908
10,0.08,3,4,non_product,1,multi_mags,0.9973248636889068,0.0581726890797594,0.0033992747662762,0.0004561246926716,0.0221355933659516,0.9987012698464016,0.9990681474659266
10,0.1,1,4,non_product,1,multi_mags,0.8986901597427905,4.697193755858877,0.0119063230452125,0.0005767411697425,0.1809121066864884,0.946920154796693,0.9553998780360188
10,0.1,2,4,non_product,1,multi_mags,0.9861747932685744,0.3345007679531582,0.0052138022323628,0.0005101860166579,0.0501936781908928,0.9931209782731776,0.994861673636966
10,0.12,1,2,non_product,1,multi_mags,0.7360125390671168,11.351612098780022,0.0165968780276448,0.0007577964325913,0.2976842257919822,0.8582013952086629,0.8652270569832016
10,0.12,1,4,non_product,1,multi_mags,0.9042294755419146,2.6390358743576736,0.0100703649798554,0.0007064816708361,0.1575510260447711,0.9522693423547176,0.9591784208213056
10,0.12,2,4,non_product,1,multi_mags,0.9901868973233536,0.0561896872333044,0.0035129922820001,0.0004889211521481,0.0467806507632393,0.9953148796841856,0.9957348611737232
10,0.12,3,9,non_product,1,multi_mags,0.9997649448933518,0.003060935896260576,0.0006827041615815611,0.00045755775851212484,0.0061078449293225584,0.9998834425474222,0.9999067202897567
10,0.12,3,10,non_product,1,multi_mags,0.999907315066856,0.0016944814842581,0.0005159926791231,0.0004196567897901,0.0044195600901024,0.9999589130132376,0.9999592576951868
10,0.12,4,3,non_product,1,multi_mags,0.9783138105186944,0.2277227442648596,0.0054655822840529,0.0005400965970918,0.081679641895207,0.9893850377478796,0.9893711615731866
10,0.12,4,5,non_product,1,multi_mags,0.9990392468407784,0.0117986569710019,0.0012346622532076,0.0005179730321762,0.0159652794539779,0.999520072124883,0.9995569760572472
10,0.12,4,7,non_product,1,multi_mags,0.999638304698973,0.0058207566890293,0.0009672856147607,0.0004725541248013,0.0082990344441926,0.9998158515550272,0.9998571445002596
10,0.12,5,3,non_product,1,multi_mags,0.9940105982814134,0.0512841700526129,0.0031128849383074,0.0005294298735818,0.036797540411074,0.997036923359332,0.9976156787436152
10,0.12,5,7,non_product,1,multi_mags,0.9997377195309518,0.0055498302690646,0.0005421775811626,0.0006903339499239,0.0089906822079701,0.9998833068807892,0.9998621391773124
10,0.12,7,7,non_product,1,multi_mags,0.9998577561492782,0.0026370144873336,0.0004840174009926,0.0006914513464745,0.005735124928927,0.9999192233592066,0.9999371417252932
10,0.12,7,9,non_product,1,multi_mags,0.9999089892960964,0.0017098674310953,0.0006776495954645,0.000434982096693,0.0050444659365004,0.9999609416055956,0.9999558656248948
10,0.12,9,3,non_product,1,multi_mags,0.9980783706998784,0.0207562836205861,0.0016883540529371,0.0004852189748802,0.0206156023505895,0.9990383973096332,0.9992327041417036
10,0.12,20,4,non_product,1,multi_mags,0.9998752222232572,0.0024678591681513,0.0006475817907571,0.0004408420419595,0.0049311485888807,0.999940306467898,0.9999469369248436
10,0.12,30,5,non_product,1,multi_mags,0.9999475814291844,0.0010363004854372,0.0003599719509404,0.0004231227053991,0.0031697063499405,0.9999719920176118,0.999981671255913
10,0.12,30,6,non_product,1,multi_mags,0.9999414156567934,0.0011727051255484,0.0003914436965184,0.0003672775505834,0.0037433755554758,0.999981696051286,0.999976039402643
10,0.12,40,1,non_product,1,multi_mags,0.9979065764020022,0.0200084665118989,0.0020445139327761,0.0009097964689139,0.0247459443763555,0.9989787025915297,0.9989771425137544
10,0.12,50,1,non_product,1,multi_mags,0.9982793708655544,0.0234183613944359,0.0016946770809687,0.000506563658882,0.0188035743235273,0.9991548645908864,0.9993765668055514
10,0.12,50,3,non_product,1,multi_mags,0.9999613926680536,0.0007433772633941,0.0010469948264564,0.0003880968094401,0.0026874412966995,0.999980782352876,0.9999860318807696
10,0.12,60,3,non_product,1,multi_mags,0.9999404347882938,0.0012232860872149,0.0003952507666645,0.0004130190070231,0.004443751262284,0.9999705452331168,0.9999718964704066
10,0.12,60,4,non_product,1,multi_mags,0.9998913525202766,0.0021091886113124,0.0011801826449949,0.0005587572617377,0.0046844003564795,0.9999284231510072,0.9999693828841454
10,0.12,60,5,non_product,1,multi_mags,0.999950420123258,0.0011692222535184,0.0008892532456031,0.0003560355019965,0.0036350423883066,0.9999764293893576,0.999981406949433
10,0.12,60,7,non_product,1,multi_mags,0.9998391984676324,0.0029462369311881,0.000625932066875,0.0006265092181451,0.0057274718947923,0.9998999863076332,0.9999493306629936
10,0.12,70,6,non_product,1,multi_mags,0.99979688077565,0.0041549857000642,0.0012159442475505,0.0004519093578574,0.0079419897765041,0.999951683111304,0.99992071001302
10,0.12,80,3,non_product,1,multi_mags,0.999780272110541,0.0034583603193457,0.0005113121902095,0.0006134471941545,0.0081230639291349,0.9999044366229446,0.9999071647974792
10,0.12,90,1,non_product,1,multi_mags,0.9998550193602784,0.0026398644194097,0.0006261458647749,0.0004162917608927,0.0050869077428428,0.9999392749717692,0.9999407340551676
10,0.14,1,4,non_product,1,multi_mags,0.8613690560867615,2.2750770429647824,0.0101686192511117,0.0008014564885557,0.1731199078446235,0.9287376219830252,0.9571071286895182
10,0.14,2,4,non_product,1,multi_mags,0.9780589458338228,0.1405782369159213,0.0041868873391146,0.0005402355954908,0.0827285480335911,0.988950226471264,0.9901576026784232
10,0.16,1,4,non_product,1,multi_mags,0.7840486856892722,4.039716751387448,0.0113369101972615,0.0008852171369497,0.2386913377982195,0.8830280553690059,0.9004008193216056
10,0.16,2,4,non_product,1,multi_mags,0.9943483636329372,0.0288949641312465,0.0020798628720729,0.000460081338535,0.0359042041498704,0.9971023021523142,0.9975973015684352
10,0.18,1,4,non_product,1,multi_mags,0.7885052835559387,2.9277939751696502,0.0097052761141806,0.0017436659090323,0.2474758846233271,0.8904043878535459,0.8906933448237329
10,0.18,2,4,non_product,1,multi_mags,0.9882652810184104,0.0458525613850034,0.0027573211918641,0.0005159749330543,0.0504200934397359,0.9940235082511204,0.9951129209962404
10,0.2,1,4,non_product,1,multi_mags,0.7910074706192812,0.8855473905628259,0.0092514505421115,0.0008642831078778,0.2461463500413006,0.8865370150994795,0.9070206934551424
10,0.2,2,4,non_product,1,multi_mags,0.9821706325974832,0.0450521358008574,0.0030175613427375,0.0005066692747799,0.0633244282668255,0.9911234702044356,0.992729958308976
3,0.02,1,1,product,1,multi_mags,0.9927989001591532,18.950489169129742,1.1588115460503334,0.0096017828830769,0.0347998326540526,0.9998615909735854,0.9976311362485172
3,0.04,1,1,product,1,multi_mags,0.995235908721157,2.1098228899036733,0.5086631054018533,0.0150214475661001,0.0284298643108817,0.9996360397503498,0.9986192662289256
3,0.06,1,1,product,1,multi_mags,0.9809557557626448,5.272413486558738,0.5000784113584567,0.0070121247332748,0.0588251506184967,0.9998875942925006,0.9931313604344376
