length,dot_size,alpha,time_interval,evol_num,sample_num,train_set_type,loss,gate_fidelity,spectrum_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,3.0,0.1,0.3,1.0,1.0,product,multi_mags,0.4038167595664952,0.0588500781933623,0.0110380728524524,0.328546703553024,0.9119774252744826,0.854779141926557
10,3.0,0.1,0.3,2.0,1.0,product,multi_mags,0.6677230318600718,0.0258232403347681,0.0200597632423199,0.1861252759490235,0.9684778033272984,0.9103216953976287
10,3.0,0.1,0.3,3.0,1.0,product,multi_mags,0.6532708209362138,0.0251591935027576,0.0097132793838798,0.2598925643589313,0.995809445565236,0.8909637189505724
10,3.0,0.1,0.3,4.0,1.0,product,multi_mags,0.583261304296237,0.0320544950682199,0.0079172854224156,0.274506148112098,0.9868527277347626,0.8618337492508549
10,3.0,0.1,0.3,5.0,1.0,product,multi_mags,0.6943188258670534,0.0187221384181064,0.0079353474183996,0.1556335541731898,0.9821704961436036,0.949378419108587
10,3.0,0.1,0.3,6.0,1.0,product,multi_mags,0.6540534030687911,0.022074663111263,0.007858123903546,0.1758853715769486,0.9811802374541264,0.9421246689644384
10,3.0,0.1,0.3,7.0,1.0,product,multi_mags,0.7337210517893543,0.0140694388390548,0.0077951026471065,0.2086322514303443,0.9977035693974404,0.9336704282276248
10,3.0,0.1,0.3,8.0,1.0,product,multi_mags,0.7573882163722262,0.0118607927276703,0.0077222244999815,0.2333067142390224,0.9963712164625004,0.9171632317757774
10,3.0,0.1,0.3,9.0,1.0,product,multi_mags,0.7791538323295125,0.0105358163556245,0.0078084015129415,0.2348248810207747,0.9958668480844908,0.9098534455349764
10,3.0,0.1,0.3,10.0,1.0,product,multi_mags,0.7921912696940221,0.0113304313049107,0.0078212704052177,0.2206634232443725,0.9965450682942294,0.9169320597496252
10,3.0,0.1,0.3,20.0,1.0,product,multi_mags,0.744255231100689,0.0128677559542801,0.0118332226630116,0.2538356990093647,0.9996189677165384,0.9023598178653152
10,3.0,0.1,0.3,30.0,1.0,product,multi_mags,0.7990539988359128,0.0070521916334958,0.0076098823701978,0.2276411185487172,0.9998048381314032,0.9235232888123868
10,3.0,0.1,0.3,40.0,1.0,product,multi_mags,0.7909523336290923,0.0116003652644438,0.0075333530458665,0.2263522756910155,0.9998331202180536,0.9209819704979708
10,3.0,0.1,0.3,50.0,1.0,product,multi_mags,0.7865106038414369,0.0101468164883404,0.0073317331345552,0.2276297322948977,0.99983447737671,0.9200394459825372
10,3.0,0.1,0.3,60.0,1.0,product,multi_mags,0.7903226614672405,0.0085025268953816,0.0072716336316931,0.2253901381386635,0.9997438842537018,0.9213269820462676
10,3.0,0.1,0.3,70.0,1.0,product,multi_mags,0.7749325328239818,0.0100698697223988,0.0074245957641267,0.2288134224891505,0.9998490138417936,0.9194361901310648
10,3.0,0.1,0.3,80.0,1.0,product,multi_mags,0.7849072051145994,0.0089099107091586,0.0072684509905197,0.2288885682306403,0.9998325724402036,0.9208173653103896
10,3.0,0.1,0.3,90.0,1.0,product,multi_mags,0.7873482875905873,0.0107298203631117,0.0074710541627407,0.2277714310576885,0.9998738690926646,0.9210350202766032
10,3.0,0.1,0.3,100.0,1.0,product,multi_mags,0.753591226087097,0.015674788420226682,0.011411483108566326,0.24111345196453357,0.9996835358572564,0.9119663947583174
10,3.0,0.5,0.02,1.0,1.0,product,multi_mags,0.8449179882150356,0.610769185957064,0.0159831277324347,0.1535619524245387,0.999293265958814,0.9748656271978104
10,3.0,0.5,0.02,2.0,1.0,product,multi_mags,0.9554298633159533,0.3124304882653318,0.0127366511519366,0.0804862626525341,0.9988334148262518,0.9863368911672448
10,3.0,0.5,0.02,3.0,1.0,product,multi_mags,0.9740214744030584,0.2179438150062,0.0156164665545759,0.0600357454644262,0.9989099950221414,0.9940600520221016
10,3.0,0.5,0.02,4.0,1.0,product,multi_mags,0.954350915026687,0.3055654683359212,0.0123112477519478,0.0755232042277099,0.9985365225696552,0.9901155897909018
