model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,lambda,train_loss,test_loss,train_fide,test_fide,gate_fidelity,similarity,spectrum_diff,H_diff
xorX,10,1,1,0.2,fidelity,product,1.0,0.1,1.0,4.854058603098732e-05,0.2894010859157441,0.999951459413969,0.7105989140842559,0.2254187589610184,0.4700786056717718,1.7650020648342657,0.0527149011967098
xorX,10,1,1,0.2,fidelity,product,1.0,0.1,1.0,0.0001015745947611,0.5279362224655204,0.9998984254052388,0.4720637775344796,0.0886622012471556,0.3945899634727771,6.262818241679982,0.1046656658826844
xorX,10,1,1,0.2,fidelity,xorX,1.0,0.1,1.0,0.0012600608102576,0.3258810110352702,0.9987399391897424,0.6741189889647298,0.3485852521394312,0.5469195956547377,20.649354727572742,0.0109022631739231
xorX,10,1,1,0.2,fidelity,xorX,1.0,0.1,1.0,0.000160536137401,0.3321591077793203,0.9998394638625988,0.6678408922206797,0.3501822287356949,0.5477638047670913,21.90266727689541,0.0107101449562361
xorX,10,1,1,0.2,multi_mags,product,1.0,0.1,1.0,0.0415566336261472,0.5077346493224724,0.7834134195102636,0.4747044880312634,0.1055806455364056,0.4183384409572073,1.817115671238516,0.0603204132975387
xorX,10,1,1,0.2,multi_mags,product,1.0,0.1,1.0,0.0146567982860389,0.5185422083611263,0.7486095556573005,0.4673137520806874,0.0784133593308563,0.3989453021093869,2.59747201796525,0.0710728237635492
xorX,10,1,1,0.2,multi_mags,xorX,1.0,0.1,1.0,0.0036155083350292,0.8157609196994827,0.4539160638221464,0.0649702928408219,0.0013431113087248,0.2995230543113035,14.573669233944798,0.0174087407464722
xorX,10,1,1,0.2,multi_mags,xorX,1.0,0.1,1.0,0.0038093614496616,0.7843570090735288,0.3620844080759875,0.0757959694129597,0.001869415753522,0.3035470056524844,10.77830672670233,0.0174413426605138
xorX,10,1,2,0.2,fidelity,product,1.0,0.1,1.0,1.884007961117096e-05,0.1484522065339291,0.9999811599203888,0.8515477934660709,0.3765205693752201,0.5362788109026735,1.4247464557665646,0.0461477030754445
xorX,10,1,2,0.2,fidelity,product,1.0,0.1,1.0,1.2149112675885476e-05,0.2702980646979642,0.999987850887324,0.7297019353020358,0.3459161922703302,0.5309669712298168,1.6854570982206285,0.0298847604478097
xorX,10,1,2,0.2,fidelity,xorX,1.0,0.1,1.0,8.861136349125331e-07,0.3211945168614276,0.9999991138863652,0.6788054831385724,0.3528765602083251,0.5480070490753263,17.845522683076865,0.0107790402460328
xorX,10,1,2,0.2,fidelity,xorX,1.0,0.1,1.0,8.861136349125331e-07,0.3239421537105329,0.9999991138863652,0.6760578462894671,0.3528765602083251,0.5480070490753263,17.845522683076865,0.0107790402460328
xorX,10,1,2,0.2,multi_mags,product,1.0,0.1,1.0,0.0222444630932064,0.4832337085098492,0.6662453827644129,0.480946526747188,0.0662900218091022,0.3863234638990177,3.690191042372356,0.1028206548330255
xorX,10,1,2,0.2,multi_mags,product,1.0,0.1,1.0,0.0149811291902059,0.5048099617272478,0.6736236521567457,0.4279598856785023,0.0465710705129088,0.364664946005951,6.487254577663802,0.1330565992508054
xorX,10,1,2,0.2,multi_mags,xorX,1.0,0.1,1.0,0.0024392429185957,0.8305210392677947,0.2644199060900417,0.0544998159327306,0.0010341091089016,0.2941213323916597,15.969569632869764,0.0167998707685372
xorX,10,1,2,0.2,multi_mags,xorX,1.0,0.1,1.0,0.0024392429185957,0.8223494461309137,0.2644199060900417,0.0541219924735386,0.0010341091089016,0.2941213323916597,15.969569632869764,0.0167998707685372
xorX,10,1,3,0.2,fidelity,product,1.0,0.1,1.0,6.6793533894937696e-06,0.0078464611126328,0.9999933206466104,0.9921535388873672,0.9591159293929123,0.8711660407877757,0.0025357047004981,0.0043584367322886
xorX,10,1,3,0.2,fidelity,product,1.0,0.1,1.0,2.480220116884979e-05,0.0124068194671974,0.9999751977988312,0.9875931805328024,0.936903153692936,0.8175674815264098,0.0092697031606419,0.0057053971288473
xorX,10,1,3,0.2,fidelity,xorX,1.0,0.1,1.0,2.4991202990376493e-06,0.3150737937056778,0.999997500879701,0.6849262062943222,0.3556203329138715,0.5486549114780461,16.176271464577386,0.0107742725096882
xorX,10,1,3,0.2,fidelity,xorX,1.0,0.1,1.0,2.4991202990376493e-06,0.3156304277837441,0.999997500879701,0.6843695722162558,0.3556203329138715,0.5486549114780461,16.176271464577386,0.0107742725096882
xorX,10,1,3,0.2,multi_mags,product,1.0,0.1,1.0,0.0137811095864071,0.4621029528414483,0.6591518735464819,0.4969854051236353,0.1119647683884517,0.4158755799869383,4.487048483027844,0.1193219657737021
xorX,10,1,3,0.2,multi_mags,product,1.0,0.1,1.0,0.0214827407441841,0.3884916627464203,0.7821467640304836,0.6378394589051254,0.1426340546357357,0.4028314328506345,3.598432953579437,0.0969692270178672
xorX,10,1,3,0.2,multi_mags,xorX,1.0,0.1,1.0,0.0015024574049246,1.1386974208615983,0.2910098062928222,0.0282265255091735,0.0009936066942232,0.2931014390352963,17.52485745113365,0.0171276841142869
xorX,10,1,3,0.2,multi_mags,xorX,1.0,0.1,1.0,0.0015024574049246,1.1033407772041115,0.2910098062928222,0.0346534736522586,0.0009936066942232,0.2931014390352963,17.52485745113365,0.0171276841142869
xorX,10,1,4,0.2,fidelity,product,1.0,0.1,1.0,1.397837212724351e-05,0.00027413360867,0.9999860216278728,0.99972586639133,0.9987369909958356,0.8612243014591243,0.0024842745760788,0.0020639664732917
xorX,10,1,4,0.2,fidelity,product,1.0,0.1,1.0,7.307265755374104e-06,0.0001439833797169,0.9999926927342446,0.999856016620283,0.9994109727765876,0.905726840307572,0.0005792650940142,0.0014552151862348
xorX,10,1,4,0.2,fidelity,xorX,1.0,0.1,1.0,3.1480366743386057e-06,0.3165871109346321,0.9999968519633256,0.6834128890653679,0.3531236898432336,0.5483333693186718,15.82119042445733,0.0108012517091788
xorX,10,1,4,0.2,fidelity,xorX,1.0,0.1,1.0,3.1480366743386057e-06,0.3193659343447359,0.9999968519633256,0.6806340656552641,0.3531236898432336,0.5483333693186718,15.82119042445733,0.0108012517091788
xorX,10,1,4,0.2,multi_mags,product,1.0,0.1,1.0,0.0099212830263108,0.3032585915841603,0.8852104352465151,0.7496249933499638,0.2131888596276218,0.4505551783947379,2.12045226842071,0.0567325765898439
xorX,10,1,4,0.2,multi_mags,product,1.0,0.1,1.0,0.0128825814434302,0.3594151487894431,0.8841016018275847,0.6908547692065454,0.1117375226112567,0.3933943265223888,3.6896442541103487,0.0819684792947323
xorX,10,1,4,0.2,multi_mags,xorX,1.0,0.1,1.0,0.0025786843833784,1.263227738714701,0.4156306063245615,0.0323281150857538,0.000982010826833,0.2929599210330419,17.304150900353388,0.0164814739632641
