length,delta,J,lambda,time_interval,evol_num,sample_num,train_set_type,entangle_dim,loss,gate_fidelity,spectrum_diff,H_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,0.1,1.0,1.0,0.02,1,1,xorX,1,multi_mags,0.9452570658994874,33.00949670432449,0.0209758279266953,0.0026179410435877,0.1119826832886482,0.990130645151906,0.974283419220564
10,0.1,1.0,1.0,0.02,1,2,xorX,1,multi_mags,0.536520409738282,1123.7058377146118,0.0425602479099263,0.002462822912123,0.3950885662848035,0.7791514425436252,0.7574832306710938
10,0.1,1.0,1.0,0.02,1,3,xorX,1,multi_mags,0.9585112584016628,11.690984600202745,0.0190273355772277,0.0031627361494481,0.0907928225459786,0.9910200311698688,0.9813033006398004
10,0.1,1.0,1.0,0.02,1,4,xorX,1,multi_mags,0.902294481252652,136.686787823612,0.0249047798452427,0.0026593561548849,0.1489471802786055,0.9552966212035576,0.9546784125882612
10,0.1,1.0,1.0,0.04,1,1,xorX,1,multi_mags,0.3583186216378207,358.20219070006334,0.0305129987776255,0.0036289260848167,0.4927114092368153,0.8370409030650596,0.6312587828307539
10,0.1,1.0,1.0,0.04,1,2,xorX,1,multi_mags,0.647094296972891,118.70321261395227,0.0224946184588689,0.0027886230615718,0.3113860839392554,0.9089136481404556,0.8158962514365026
10,0.1,1.0,1.0,0.04,1,3,xorX,1,multi_mags,0.70511108733186,76.9798515486016,0.0208137365497922,0.0031938359704627,0.2677124706429584,0.9461650574219752,0.8571329043457021
10,0.1,1.0,1.0,0.04,1,4,xorX,1,multi_mags,0.918622617295088,0.7758865513791955,0.0139845031427521,0.0025262857176988,0.1448372304710182,0.9733378438904136,0.9656398706785704
10,0.1,1.0,1.0,0.06,1,1,xorX,1,multi_mags,0.3348953376666596,182.4859943648896,0.02020051629632439,0.0058415930556637305,0.5397332648910949,0.844948780216307,0.5974815883294692
10,0.1,1.0,1.0,0.06,1,2,xorX,1,multi_mags,0.4866187386280248,96.0532218436106,0.017364383566797,0.0024915751314519,0.4039629426469112,0.9276693128949114,0.7147590231100808
